"anyword","Freq"
"the",73806
"to",33824
"and",32866
"a",32516
"of",29230
"in",24349
"that",13078
"for",12901
"is",10916
"on",9942
"with",9509
"was",8703
"it",8238
"at",7870
"he",7492
"as",7136
"his",5849
"be",5797
"i",5741
"from",5594
"said",5574
"but",5505
"have",5445
"are",5366
"by",5034
"has",4701
"an",4659
"this",4477
"they",4335
"will",4217
"not",4199
"who",4156
"we",3639
"you",3639
"or",3334
"their",3314
"one",3300
"about",3196
"more",3188
"had",3037
"up",2930
"when",2925
"were",2796
"would",2793
"out",2782
"her",2627
"been",2603
"all",2564
"new",2534
"if",2437
"she",2390
"two",2377
"can",2241
"after",2235
"which",2215
"also",2205
"its",2197
"year",2193
"first",2145
"than",2107
"there",2098
"what",2090
"time",2070
"it's",2065
"just",2045
"so",2045
"s",2008
"other",1954
"some",1928
"like",1895
"state",1876
"into",1854
"no",1827
"last",1813
"people",1784
"do",1690
"get",1665
"over",1658
"him",1635
"them",1596
"could",1590
"our",1522
"three",1491
"because",1484
"my",1471
"years",1413
"city",1360
"most",1353
"only",1316
"before",1282
"how",1274
"school",1270
"make",1246
"those",1227
"back",1221
"going",1219
"your",1199
"home",1187
"many",1179
"day",1164
"now",1161
"game",1146
"where",1146
"even",1135
"off",1132
"while",1123
"county",1091
"good",1080
"through",1076
"made",1048
"much",1042
"way",1041
"work",1027
"any",1020
"then",1013
"down",1007
"high",996
"team",989
"don't",985
"me",982
"season",982
"go",972
"may",965
"four",937
"think",918
"against",908
"did",908
"public",894
"police",890
"during",874
"being",869
"still",865
"take",865
"percent",859
"well",859
"such",852
"should",850
"best",835
"want",832
"know",831
"since",825
"say",820
"long",815
"see",809
"second",806
"old",795
"million",792
"right",790
"week",783
"another",770
"that's",767
"these",761
"both",760
"got",759
"lot",749
"company",744
"very",744
"big",739
"center",739
"play",734
"us",725
"president",722
"next",715
"little",714
"family",713
"around",710
"according",704
"says",703
"told",703
"five",687
"house",685
"part",681
"every",679
"here",672
"really",672
"same",672
"each",670
"under",663
"end",656
"help",654
"need",654
"money",652
"place",649
"i'm",647
"come",642
"law",639
"until",635
"never",627
"court",626
"own",626
"former",623
"great",622
"show",614
"world",614
"few",610
"run",609
"including",607
"officials",605
"left",604
"night",600
"between",598
"he's",598
"federal",595
"business",592
"health",588
"national",582
"use",582
"didn't",580
"better",576
"called",571
"life",570
"found",565
"came",564
"man",563
"took",562
"group",559
"top",556
"put",555
"might",553
"district",549
"government",549
"something",548
"set",544
"third",540
"case",531
"board",530
"things",529
"too",528
"office",526
"university",524
"used",524
"point",521
"several",514
"games",512
"coach",509
"win",508
"six",507
"early",498
"director",495
"department",494
"today",493
"program",492
"american",491
"look",491
"pay",488
"without",487
"times",486
"job",485
"students",485
"community",482
"keep",481
"there's",481
"local",479
"past",476
"children",473
"road",472
"open",471
"park",471
"start",471
"days",468
"give",468
"members",468
"month",467
"find",466
"among",463
"hit",463
"small",460
"went",459
"bill",455
"later",454
"does",450
"plan",449
"why",449
"we're",447
"away",446
"half",446
"least",446
"players",445
"care",444
"less",444
"enough",443
"tax",441
"always",440
"area",440
"service",440
"based",439
"st",438
"free",435
"already",433
"college",431
"number",431
"whether",430
"doesn't",428
"friday",425
"asked",424
"hard",423
"making",419
"san",418
"working",418
"getting",416
"months",416
"room",416
"though",415
"young",415
"system",413
"food",412
"played",408
"report",408
"street",407
"thursday",407
"tuesday",406
"again",405
"news",405
"call",404
"once",404
"started",404
"ago",403
"thing",403
"different",401
"monday",400
"support",400
"information",396
"jersey",394
"far",387
"schools",387
"head",386
"white",386
"car",385
"country",383
"water",382
"trying",381
"along",380
"feel",380
"change",378
"done",376
"north",376
"line",373
"love",372
"building",369
"won",369
"field",367
"real",367
"ohio",366
"fire",364
"full",364
"able",362
"south",362
"west",362
"market",360
"york",360
"often",359
"side",359
"yet",357
"doing",355
"obama",355
"expected",352
"states",351
"wanted",350
"close",349
"late",349
"they're",345
"deal",344
"near",343
"can't",342
"cleveland",340
"power",340
"you're",340
"final",338
"recent",337
"seven",337
"saturday",336
"washington",336
"career",335
"cut",335
"having",335
"must",335
"become",334
"ever",334
"others",334
"running",334
"john",333
"music",333
"wednesday",332
"chief",331
"party",331
"coming",330
"across",328
"move",327
"companies",325
"series",325
"jobs",323
"looking",323
"major",323
"sales",323
"believe",322
"story",322
"budget",321
"cost",320
"campaign",319
"comes",319
"conference",319
"kind",319
"lead",319
"kids",318
"sure",318
"general",317
"league",317
"lost",317
"playing",317
"nearly",316
"services",316
"led",315
"republican",315
"project",314
"likely",313
"th",312
"points",311
"behind",310
"medical",310
"include",309
"oregon",308
"player",308
"education",307
"makes",307
"council",306
"issue",306
"try",306
"women",306
"i've",305
"name",303
"held",300
"shot",300
"special",299
"sunday",299
"weeks",299
"plans",298
"political",298
"began",297
"round",293
"given",292
"large",292
"together",292
"executive",291
"bad",290
"live",290
"taking",290
"wasn't",289
"decision",288
"gave",288
"portland",288
"hours",287
"let",287
"record",287
"available",286
"california",286
"re",286
"seen",286
"known",284
"teams",284
"using",284
"financial",283
"history",283
"important",283
"process",283
"future",282
"march",282
"outside",282
"statement",280
"eight",279
"thought",279
"united",279
"earlier",278
"everything",278
"april",276
"death",276
"possible",275
"saying",275
"worked",275
